#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-20T14:17:06 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-20T14:17:06	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-order=I&-out.src=J/A+A/391/159/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/391/159/table1&-out=Seq&-out=Pref&-out=Suff&-out=RAJ2000&-out=DEJ2000&-out=LRV&-out=LGRV&-out=FWHM&-out=NHI&-out=Flux&-out=Simbad&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_33910159
#Name: J/A+A/391/159
#Title: A search for Compact High-Velocity Clouds (De Heij+, 2002)
#INFO	ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/391/159	    IVOID of underlying data collection
#INFO	creator=De Heij V.	    First author or institution
#INFO	cites=bibcode:2002A&A...391..159D	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2002	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/391/159	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.33910159	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_391_159_table1:
#Name: J/A+A/391/159/table1
#Title: Catalog of high velocity HI features in the LDS
#Column	Seq	(I3)	Running ID number	[ucd=meta.id]
#Column	Pref	(A5)	Name-prefix (one of HVC, CHVC, CHVC:, CHVC?)	[ucd=src.class]
#Column	Suff	(A14)	Name-suffix (LLL.L+BB.B+VVV)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	LRV	(I4)	LSR (Local Standard of Rest) radial velocity	[ucd=spect.dopplerVeloc;pos.lsr]
#Column	LGRV	(I4)	LGSR (Local Group Standard of Rest) velocity	[ucd=phys.veloc;pos.lg]
#Column	FWHM	(I3)	Velocity FWHM	[ucd=spect.line.width]
#Column	NHI	(F5.2)	Peak HI column density in units of 10^20^cm^-2^	[ucd=phys.columnDensity;stat.max]
#Column	Flux	(I5)	Total HI Flux	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
Seq	Pref	Suff	RAJ2000	DEJ2000	LRV	LGRV	FWHM	NHI	Flux	Simbad
 45	 HVC 	025.2-45.0-105	21 30.9	-24 00	-105	 -42	 25	 0.26	  900	Simbad
 46	 HVC 	025.4-40.4-118	21 11.9	-22 38	-118	 -53	 27	 0.08	   37	Simbad
 47	 HVC 	025.7+18.1-108	17 33.9	+01 59	-108	 -65	 32	 0.25	  984	Simbad
 48	 HVC 	026.1-20.0-270	19 52.4	-14 48	-270	-203	 14	 0.07	   36	Simbad
 49	 HVC 	026.2+13.0-122	17 52.8	+00 03	-122	 -72	 22	 0.24	  364	Simbad
 50	 HVC 	026.6+36.9-091	16 28.1	+11 14	 -91	 -63	 78	 0.08	  283	Simbad
 51	 HVC 	027.4-49.0-115	21 49.5	-23 36	-115	 -46	 32	 0.25	  336	Simbad
 52	 HVC 	027.9+21.4-364	17 26.3	+05 19	-364	-314	108	 0.16	  113	Simbad
 53	 HVC 	028.0-14.9-205	19 36.1	-11 03	-205	-132	 38	 0.09	  134	Simbad
 54	CHVC 	028.2-04.0-321	18 57.3	-06 01	-321	-250	 27	 0.18	  107	Simbad
 55	 HVC 	028.2-40.9-216	21 16.6	-20 44	-216	-142	 21	 0.06	   37	Simbad
 56	 HVC 	028.3+15.4-119	17 48.3	+02 56	-119	 -62	 65	 0.12	  274	Simbad
 57	 HVC 	028.4+26.2+125	17 09.9	+07 57	 125	 172	 13	 0.09	   63	Simbad
 58	CHVC:	028.5+25.0-124	17 14.2	+07 28	-124	 -76	 26	 0.12	   55	Simbad
 59	 HVC 	028.8+22.5+127	17 23.7	+06 37	 127	 179	  6	 0.12	  108	Simbad
 60	 HVC 	029.0+01.1-214	18 40.4	-02 57	-214	-142	 73	 0.11	   48	Simbad
 61	 HVC 	029.1+30.4+312	16 55.4	+10 18	 312	 357	 13	 0.05	   20	Simbad
 62	 HVC 	029.3+18.9-139	17 37.6	+05 24	-139	 -81	 67	 0.14	  166	Simbad
 63	 HVC 	030.3+17.2-100	17 45.5	+05 29	-100	 -37	 53	 0.24	 1006	Simbad
 64	CHVC:	030.4-50.7-129	21 58.9	-22 10	-129	 -53	 36	 0.53	 1484	Simbad
 65	 HVC 	030.9-48.2-123	21 49.0	-21 08	-123	 -43	 46	 0.10	   59	Simbad
 66	 HVC 	031.4+22.8-106	17 27.0	+08 51	-106	 -43	 52	 0.20	  515	Simbad
 67	CHVC 	031.5-20.1-282	20 01.2	-10 16	-282	-193	 38	 0.32	  215	Simbad
 68	CHVC 	031.5-46.6-178	21 43.2	-20 19	-178	 -95	 29	 0.17	  134	Simbad
 69	 HVC 	031.8+15.2-124	17 55.3	+05 51	-124	 -52	 34	 0.24	  364	Simbad
 70	CHVC 	032.0-30.9-311	20 42.2	-14 15	-311	-220	 36	 0.15	   80	Simbad
 71	 HVC 	032.5+42.4-102	16 14.7	+17 37	-102	 -61	 66	 0.09	  461	Simbad
 72	 HVC 	033.6+09.4+123	18 19.0	+04 49	 123	 209	 32	 0.10	  115	Simbad
 73	CHVC 	033.8-38.6-267	21 13.9	-15 52	-267	-173	 10	 0.06	   13	Simbad
 74	 HVC 	033.9-39.8-251	21 18.9	-16 18	-251	-157	 16	 0.04	   12	Simbad
 75	 HVC 	034.0+27.6-090	17 13.3	+13 04	 -90	 -23	 60	 0.18	 1591	Simbad
 76	 HVC 	034.0-31.2-127	20 46.1	-12 52	-127	 -28	 28	 0.07	   26	Simbad
 77	 HVC 	034.4+20.8-120	17 39.1	+10 34	-120	 -43	 19	 0.31	  524	Simbad
 78	CHVC:	034.7+08.8+163	18 23.2	+05 36	 163	 253	 12	 0.11	   49	Simbad
 79	CHVC 	035.5+20.6+232	17 41.6	+11 25	 232	 314	102	 0.17	  118	Simbad
 80	 HVC 	035.7-39.6-202	21 20.0	-14 56	-202	-101	 47	 0.12	  145	Simbad
 81	 HVC 	036.1+20.5+212	17 43.0	+11 52	 212	 297	 96	 0.13	   41	Simbad
 82	 HVC 	036.2-32.0-144	20 52.6	-11 27	-144	 -38	  7	 0.08	   76	Simbad
 83	 HVC 	036.3+22.1-131	17 37.3	+12 43	-131	 -48	 25	 0.13	  127	Simbad
 84	CHVC:	036.5+09.5-303	18 23.7	+07 29	-303	-206	 62	 0.10	  134	Simbad
 85	 HVC 	036.8-30.8+096	20 48.7	-10 30	  96	 205	 38	 0.41	  737	Simbad
 86	CHVC:	037.3-14.2-202	19 49.8	-02 40	-202	 -88	 38	 0.09	   62	Simbad
 87	 HVC 	037.7+23.5-111	17 34.2	+14 25	-111	 -24	 32	 0.08	   88	Simbad
 88	 HVC 	037.9-26.4-292	20 34.7	-07 40	-292	-177	 67	 0.11	  158	Simbad
 89	 HVC 	038.2-67.6-108	23 14.2	-22 59	-108	 -33	 56	 0.31	 2269	Simbad
 90	 HVC 	038.3+61.4+109	14 59.5	+26 07	 109	 132	 55	 0.10	  247	Simbad
 91	 HVC 	038.3-10.8-288	19 39.6	-00 16	-288	-171	 39	 0.10	   76	Simbad
 92	 HVC 	038.4-28.4-275	20 42.7	-08 11	-275	-159	 20	 0.07	   39	Simbad
 93	CHVC 	038.5+07.3-314	18 35.4	+08 12	-314	-206	 41	 0.11	   70	Simbad
 94	 HVC 	038.5-39.2-174	21 22.2	-12 45	-174	 -64	 76	 0.19	  281	Simbad
 95	CHVC 	038.8-33.7-258	21 02.4	-10 11	-258	-144	 29	 0.25	  210	Simbad
 96	CHVC 	038.9-13.7-233	19 50.9	-01 01	-233	-113	 14	 0.24	  235	Simbad
 97	CHVC 	039.0-37.1-239	21 15.1	-11 32	-239	-126	 25	 0.15	  128	Simbad
 98	CHVC 	039.6-31.0-272	20 53.9	-08 23	-272	-152	 25	 0.21	  326	Simbad
 99	 HVC 	039.9-32.2-200	20 58.8	-08 44	-200	 -81	 61	 0.12	  135	Simbad
100	CHVC 	040.0+07.6-314	18 37.1	+09 44	-314	-200	 19	 0.06	   23	Simbad
101	CHVC 	040.2+00.5-279	19 03.0	+06 44	-279	-159	 42	 0.11	   61	Simbad
102	 HVC 	040.3+32.4-097	17 03.3	+19 57	 -97	 -14	 67	 0.12	 1104	Simbad
103	CHVC:	040.4-73.4-169	23 39.1	-23 49	-169	-101	 20	 0.06	   46	Simbad
104	 HVC 	040.5+21.9+165	17 44.7	+16 08	 165	 265	  6	 0.06	   36	Simbad
105	 HVC 	040.5+65.6-093	14 41.6	+27 37	 -93	 -74	  8	 0.15	 1605	Simbad
106	 HVC 	040.5-12.3-244	19 48.9	+00 58	-244	-118	 27	 0.10	   94	Simbad
107	 HVC 	040.6-21.9+116	20 23.0	-03 25	 116	 243	 28	 0.45	 1715	Simbad
108	 HVC 	040.9+20.4-108	17 50.9	+15 54	-108	  -5	107	 0.35	 3224	Simbad
109	CHVC 	041.1-27.3-239	20 43.1	-05 33	-239	-113	 26	 0.11	   59	Simbad
110	 HVC 	041.3-10.3-339	19 43.5	+02 39	-339	-209	 53	 0.09	   49	Simbad
111	CHVC 	041.4+04.1-334	18 52.4	+09 23	-334	-211	 28	 0.07	   43	Simbad
112	 HVC 	041.8+27.8-097	17 23.4	+19 28	 -97	  -1	 22	 0.13	  219	Simbad
113	 HVC 	042.1+52.7-114	15 39.7	+26 39	-114	 -64	 76	 0.11	  207	Simbad
114	CHVC 	042.2-04.2-305	19 23.5	+06 15	-305	-174	 46	 0.09	   85	Simbad
115	CHVC 	042.9-12.9-265	19 55.6	+02 43	-265	-129	 51	 0.16	   95	Simbad
116	CHVC 	042.9-13.3-315	19 56.8	+02 38	-315	-179	 27	 0.40	  396	Simbad
117	CHVC:	043.0-29.9-217	20 55.3	-05 18	-217	 -85	 25	 0.22	  262	Simbad
118	 HVC 	043.1+25.9-148	17 32.7	+19 55	-148	 -44	 68	 0.14	  303	Simbad
119	 HVC 	043.1+34.4-345	16 58.3	+22 50	-345	-256	 71	 0.12	   27	Simbad
120	 HVC 	043.3-26.8+113	20 44.9	-03 36	 113	 247	 53	 0.17	  364	Simbad
121	 HVC 	043.5+32.1+241	17 08.5	+22 22	 241	 336	121	 0.16	  176	Simbad
122	 HVC 	043.6-16.8-278	20 10.6	+01 28	-278	-139	112	 0.14	   68	Simbad
123	 HVC 	043.7+47.8+156	16 02.1	+26 41	 156	 220	  7	 0.05	   40	Simbad
124	 HVC 	043.8-22.9+132	20 32.1	-01 18	 132	 270	 26	 0.09	   84	Simbad
125	 HVC 	043.8-26.1-198	20 43.4	-02 53	-198	 -62	 45	 0.09	   81	Simbad
126	 HVC 	044.4+33.0-358	17 05.7	+23 21	-358	-261	 92	 0.13	   59	Simbad
127	 HVC 	044.5+22.6+114	17 47.9	+19 51	 114	 228	 71	 0.09	  340	Simbad
128	 HVC 	044.6-11.2-416	19 52.8	+05 00	-416	-273	 35	 0.08	   12	Simbad
129	 HVC 	044.7-14.1-340	20 03.1	+03 43	-340	-197	 15	 0.08	   25	Simbad
130	 HVC 	044.8+21.9-118	17 50.8	+19 51	-118	  -2	 56	 0.41	 1374	Simbad
131	 HVC 	045.1-05.6-111	19 33.9	+08 07	-111	  32	  9	 0.06	   54	Simbad
132	CHVC:	045.5-24.5-228	20 40.9	-00 47	-228	 -84	 36	 0.13	   84	Simbad
133	 HVC 	045.6+31.3-348	17 14.3	+23 50	-348	-244	 48	 0.11	   23	Simbad
134	 HVC 	045.7+39.9+123	16 37.6	+26 21	 123	 210	  5	 0.05	   47	Simbad
135	 HVC 	047.1+52.4-361	15 42.8	+29 36	-361	-298	 68	 0.07	   19	Simbad
136	 HVC 	047.2+25.3-125	17 40.9	+23 06	-125	  -6	102	 0.35	 1815	Simbad
137	 HVC 	047.3-51.7-132	22 19.3	-12 43	-132	 -12	 39	 0.18	  389	Simbad
138	 HVC 	047.4+18.6-125	18 08.1	+20 51	-125	   6	 25	 0.31	  625	Simbad
139	 HVC 	047.6+51.6-106	15 46.9	+29 47	-106	 -40	 77	 0.22	  578	Simbad
140	 HVC 	047.6-03.9+261	19 32.5	+11 10	 261	 413	 62	 0.10	   61	Simbad
141	 HVC 	047.7+34.2-141	17 04.1	+26 20	-141	 -36	 25	 0.16	  308	Simbad
142	 HVC 	047.8+28.8-160	17 27.2	+24 50	-160	 -45	 26	 0.24	  834	Simbad
143	 HVC 	047.9+44.5-110	16 19.2	+28 53	-110	 -27	 42	 0.31	 1121	Simbad
144	 HVC 	047.9+76.9+125	13 49.8	+29 44	 125	 125	 58	 0.07	   93	Simbad
145	CHVC 	047.9-11.8-357	20 01.2	+07 32	-357	-202	126	 0.24	   75	Simbad
146	 HVC 	048.1+43.3+178	16 24.7	+28 48	 178	 265	 79	 0.10	   84	Simbad
147	 HVC 	048.5+53.6+116	15 37.9	+30 36	 116	 179	 23	 0.07	   73	Simbad
148	 HVC 	048.5-42.6+137	21 48.6	-07 40	 137	 274	 46	 0.09	   62	Simbad
149	 HVC 	049.0-49.9-136	22 15.1	-10 59	-136	  -9	 16	 0.03	    8	Simbad
150	 HVC 	050.0+53.8-136	15 37.3	+31 27	-136	 -70	 65	 0.13	  211	Simbad
151	CHVC 	050.0-68.2-193	23 23.3	-19 03	-193	-102	 30	 0.13	   99	Simbad
152	 HVC 	050.1+23.7-167	17 51.5	+25 05	-167	 -35	 40	 0.10	  109	Simbad
153	CHVC 	050.2-27.1-274	20 58.5	+01 34	-274	-116	 26	 0.10	   42	Simbad
154	 HVC 	050.3+29.3-096	17 28.3	+27 01	 -96	  27	111	 0.60	 2193	Simbad
155	 HVC 	050.8+24.2-116	17 50.3	+25 53	-116	  17	 18	 0.25	  211	Simbad
156	 HVC 	050.9-23.3+134	20 46.7	+04 05	 134	 297	 43	 0.28	  601	Simbad
157	 HVC 	051.0+29.1-153	17 29.8	+27 36	-153	 -27	 49	 0.10	   46	Simbad
158	 HVC 	051.2+37.2+199	16 54.4	+29 53	 199	 308	 89	 0.18	  219	Simbad
159	 HVC 	051.3-62.7-113	23 03.5	-16 03	-113	  -7	 78	 0.20	 1501	Simbad
160	 HVC 	051.5-75.9-145	23 53.7	-21 54	-145	 -70	 25	 0.12	   84	Simbad
161	 HVC 	051.7+22.1-136	18 00.4	+25 55	-136	   5	 37	 0.56	  844	Simbad
162	 HVC 	052.1-36.3+103	21 33.1	-02 00	 103	 258	 17	 0.08	   49	Simbad
163	 HVC 	052.4+26.9-166	17 40.8	+28 05	-166	 -32	 24	 0.12	  362	Simbad
164	 HVC 	052.7+14.7-143	18 32.1	+24 02	-143	  12	 12	 0.09	  283	Simbad
165	 HVC 	052.8+39.6+105	16 44.6	+31 34	 105	 213	111	 0.13	  277	Simbad
166	 HVC 	053.1+52.4+107	15 44.5	+33 16	 107	 184	 95	 0.09	  121	Simbad
167	 HVC 	053.2+71.5-290	14 13.8	+32 02	-290	-269	100	 0.10	   64	Simbad
168	 HVC 	053.6-21.7-320	20 46.8	+07 06	-320	-147	 11	 0.06	   78	Simbad
169	 HVC 	053.7-25.9+244	21 01.2	+04 53	 244	 415	 71	 0.09	   44	Simbad
170	 HVC 	053.7-31.1-365	21 18.4	+01 59	-365	-199	 81	 0.13	   85	Simbad
171	 HVC 	053.8+32.4-112	17 18.4	+30 47	-112	  15	 40	 0.16	  177	Simbad
172	 HVC 	053.9+37.8+222	16 53.7	+32 05	 222	 338	 76	 0.11	  104	Simbad
173	CHVC:	054.0+01.4+239	19 26.1	+19 21	 239	 412	 61	 0.13	   79	Simbad
174	CHVC:	054.1+01.5-197	19 25.9	+19 29	-197	 -24	 17	 0.08	   30	Simbad
175	 HVC 	054.1+27.3+277	17 41.3	+29 36	 277	 415	 57	 0.12	   38	Simbad
176	 HVC 	054.4+24.3-122	17 55.0	+28 57	-122	  23	 37	 0.07	   53	Simbad
177	 HVC 	054.6+66.8+117	14 35.4	+33 17	 117	 154	 63	 0.13	  143	Simbad
178	 HVC 	055.5+27.9-178	17 40.2	+30 59	-178	 -36	 33	 0.18	  469	Simbad
179	 HVC 	055.6+35.3-134	17 06.4	+32 56	-134	  -8	 27	 0.09	   35	Simbad
180	 HVC 	055.7-05.9-113	19 56.1	+17 13	-113	  69	 23	 0.07	   52	Simbad
181	 HVC 	055.7-68.7-113	23 29.1	-17 25	-113	 -15	 88	 0.18	  558	Simbad
182	 HVC 	055.9+51.2-344	15 50.3	+34 56	-344	-258	 55	 0.07	   14	Simbad
183	 HVC 	056.0+47.5-097	16 08.3	+34 51	 -97	  -1	 35	 0.24	  524	Simbad
184	 HVC 	056.6+20.8+165	18 12.8	+29 43	 165	 323	 36	 0.13	   97	Simbad
185	 HVC 	056.6-33.1+102	21 30.6	+02 55	 102	 275	 15	 0.18	  533	Simbad
186	 HVC 	056.7+39.8-279	16 46.1	+34 35	-279	-161	 42	 0.07	   29	Simbad
187	 HVC 	056.9+24.2+285	17 58.6	+31 03	 285	 439	 44	 0.08	   30	Simbad
188	 HVC 	057.0+03.7-209	19 23.5	+22 59	-209	 -28	 24	 0.11	  132	Simbad
189	 HVC 	057.3-13.4-107	20 26.4	+14 35	-107	  81	 71	 0.12	  208	Simbad
190	 HVC 	058.5+27.0-103	17 48.1	+33 20	-103	  50	141	 0.53	 1323	Simbad
191	 HVC 	059.0+30.0-184	17 34.3	+34 30	-184	 -37	 27	 0.19	  310	Simbad
192	 HVC 	059.1+24.2-144	18 01.5	+32 59	-144	  16	 24	 0.14	  217	Simbad
193	 HVC 	059.8-63.7-157	23 15.4	-13 19	-157	 -40	 35	 0.14	  187	Simbad
194	 HVC 	060.3+33.4-294	17 19.4	+36 18	-294	-151	 83	 0.12	   27	Simbad
195	 HVC 	060.4-33.4+110	21 39.1	+05 18	 110	 292	 11	 0.15	   94	Simbad
196	 HVC 	060.7+21.4+243	18 16.4	+33 31	 243	 413	 77	 0.09	   31	Simbad
197	 HVC 	061.4+43.8+297	16 28.0	+38 25	 297	 416	106	 0.10	   44	Simbad
198	 HVC 	061.6+32.4-094	17 25.2	+37 13	 -94	  56	 23	 0.25	  669	Simbad
199	 HVC 	062.2+70.8-095	14 13.3	+35 00	 -95	 -62	 28	 0.12	  128	Simbad
200	 HVC 	062.3+24.2-157	18 05.9	+35 49	-157	  12	 33	 1.49	 7104	Simbad
201	 HVC 	062.3+29.7-119	17 39.1	+37 16	-119	  39	 18	 0.33	  876	Simbad
202	 HVC 	063.0+33.9-434	17 19.0	+38 38	-434	-284	 23	 0.06	   49	Simbad
203	 HVC 	063.2+30.6-188	17 35.6	+38 10	-188	 -30	 38	 0.10	  287	Simbad
204	 HVC 	063.4-32.6+111	21 43.0	+07 45	 111	 303	  7	 0.08	   77	Simbad
205	 HVC 	063.7-22.9+220	21 12.7	+13 59	 220	 423	 35	 0.07	   32	Simbad
206	 HVC 	063.9+30.5-154	17 36.8	+38 45	-154	   6	 16	 0.41	 1914	Simbad
207	 HVC 	064.2+38.4-098	16 56.5	+40 13	 -98	  43	 27	 1.26	  251	Simbad
208	 HVC 	064.5-69.8-182	23 40.5	-15 30	-182	 -77	 28	 0.16	  202	Simbad
